"Freq","title"
0,"Last Will of Dr. Mabuse, The (Testament du Dr. Mabuse, Le) (1933)"
0.01,"Blue Angel, The (1930)"
0.01,"Bronies: The Extremely Unexpected Adult Fans of My Little Pony (2012)"
0.14,"Frozen Planet (2011)"
0.25,"Act of Killing, The (2012)"
0,"Match King, The (1932)"
0,"Goddess of 1967, The (2000)"
0,"Åsa-Nisse - Wälkom to Knohult (2011)"
0,"PressPausePlay (2011)"
0,"U.S. Seals (2000)"
0,"Raid on Rommel (1971)"
0,"Angel Levine, The (1970)"
0.04,"Universal Soldier: Day of Reckoning (2012)"
0.08,"Room 237 (2012)"
0,"Arnulf Rainer (1960)"
0,"Above the Street, Below the Water (Over gaden under vandet) (2009)"
0,"Amazing Johnathan: Wrong on Every Level (2006)"
0,"Mind Reader, The (1933)"
0.01,"Benji (2012) "
0,"To.get.her (2011)"
0.58,"Chamber, The (1996)"
0.06,"Escape from Planet Earth (2013)"
0,"Saving Lincoln (2013)"
0.02,"Patton Oswalt: No Reason to Complain (2004)"
0.01,"Bruna Surfistinha (2011)"
0,"Death of a Salesman (1966)"
0,"Scarecrow, The (1972)"
0,"Film Noir: Bringing Darkness to Light (2006)"
0,"Helicopter String Quartet (1996)"
0,"Breaking the Surface: The Greg Louganis Story (1997)"
0,"Salla: Selling the Silence (2010)"
0,"Cost of Oil: Voices from the Arctic, The (2009)"
0.67,"Apple Dumpling Gang, The (1975)"
0.7,"Before Midnight (2013)"
0.02,"Oranges, The (2011)"
0,"Fake It So Real (2012)"
0,"The Reincarnation of Isabel (1973)"
0,"How to Make a Monster (2001)"
0,"Which Way Home (2009)"
0,"Heroine (2012)"
0.03,"Starship Troopers: Invasion (2012)"
0.01,"Lucifer Rising (1972)"
0.01,"Escape (Flukt) (2012)"
0.1,"Snitch (2013)"
0,"Black on White (Mustaa valkoisella) (1968)"
0,"Sixtynine (69) (1969)"
0,"Eye In The Sky (Gun chung) (2007)"
0.09,"TPB AFK: The Pirate Bay Away from Keyboard (2013)"
0,"I aionia epistrofi tou Antoni Paraskeva (2013)"
0,"Living in Emergency: Stories of Doctors Without Borders (2008)"
0.29,"Davy Crockett, King of the Wild Frontier (1955)"
0.14,"Dark Skies (2013)"
0,"Zig Zag (2002)"
0,"Blue Swallow (Cheong yeon) (2005)"
0,"Empty Nest (El nido vacío) (2008)"
0,"I Am Jesus (2011)"
0,"Marie Krøyer (2012)"
0.06,"Oh Boy (A Coffee in Berlin) (2012)"
0.03,"Journey to the West: Conquering the Demons (Daai wa sai you chi Chui mo chun kei) (2013)"
0,"Holy Wars (2010)"
0.99,"Escape to Witch Mountain (1975)"
0,"911 in Plane Site (2004)"
0,"Murder in Greenwich (2002)"
0.01,"Maniac Cop 2 (1990)"
0,"Gunfighter's Moon  (1997)"
0,"Movie, A (1958)"
0.01,"Fantomas (Fantômas - À l'ombre de la guillotine) (1913)"
0.01,"Act of Seeing with One's Own Eyes, The (1971) "
0,"På sista versen (1999)"
1.75,"Bottle Rocket (1996)"
0.98,"Love Bug, The (1969)"
0.01,"Look, Up in the Sky! The Amazing Story of Superman (2006)"
0,"Aral, Fishing in an Invisible Sea (2004)"
0,"Suitor, The (Soupirant, Le) (1962)"
0,"Yo Yo (Yoyo) (1965)"
0,"As Long as You've Got Your Health (Tant qu'on a la santé) (1966)"
0,"Dark Intruder (1965)"
0.27,"Jack the Giant Slayer (2013)"
0,"East Meets West (Dung sing sai tsau 2011) (2011)"
0.02,"Last Exorcism Part II, The (2013)"
0,"Lenny Bruce: Swear to Tell the Truth (1998)"
0,"Verboten! (1959)"
0.01,"Solitude of Prime Numbers, The (2010)"
0.05,"Wadjda (2012)"
0,"Unintentional Kidnapping of Mrs. Elfriede Ott, The (Die Unabsichtliche Entführung der Frau Elfriede Ott) (2010)"
0.04,"Legend of Sleepy Hollow, The (1949)"
0.34,"G.I. Joe: Retaliation (2013)"
0.01,"Kiss Me (Kyss Mig) (2011)"
0,"My Name is Juani (Yo soy la Juani) (2006)"
0.27,"Stoker (2013)"
0.02,"Phantom (2013)"
0.59,"Herbie Rides Again (1974)"
0,"Tale of Sweeney Todd, The (1997)"
0,"Grand Amour, Le (1969)"
0.06,"Sound City (2013)"
0.51,"Oz the Great and Powerful (2013)"
0.01,"Net 2.0, The (2006) "
0,"Satan's Blood (Escalofrío) (1978)"
0.01,"Tripping the Rift: The Movie (2008)"
0,"Fog City Mavericks (2007)"
0.09,"Dead Man Down (2013)"
0.62,"Croods, The (2013)"
0,"Land of Milk and Honey (Pays de cocagne) (1971)"
0,"Thick-Walled Room, The (Kabe atsuki heya) (1953)"
0,"I Will Buy You (Anata kaimasu) (1956)"
0,"This Movie Is Broken (2010)"
0,"Life 2.0 (2010)"
0,"Sons of Perdition (2010)"
0,"Last Call at the Oasis (2011)"
0,"Child, The (2012)"
0,"And Now the Screaming Starts! (1973)"
0.01,"Wieners (2008)"
0.01,"Borrowers, The (2011)"
0,"Suomisen Olli yllättää (1945)"
0,"First Person Plural (2000)"
0,"First Target (2000)"
0.01,"Age of the Dragons (2011)"
0.01,"Trial of the Incredible Hulk, The (1989)"
0.03,"Populaire (2012)"
0,"Central Park (1990)"
0,"Inheritance, The (Karami-ai) (1964)"
1.35,"Old Yeller (1957)"
0,"Hello, Friend (2003)"
0,"Hucksters, The (1947)"
0.03,"Emperor (2012)"
0.01,"Silence, The (Das letzte Schweigen) (2010)"
0,"Girl, The (2012)"
0,"Genghis Khan (1965)"
0.01,"Leviathan (2012)"
0,"Burn (2012)"
0.01,"Elevator (2011) "
0,"3some (Castillos de cartón) (2009)"
0,"Accomplices (Complices) (2009)"
0,"Glass Menagerie, The (1950)"
0.01,"Great Gatsby, The (1949)"
0,"Wild Guitar (1962)"
0,"Sadist, The (1963)"
0.01,"Klip (Clip) (2012)"
0,"Herman's House (2012)"
0,"Westward the Women (1951)"
0,"Thousand Cuts, A (2012)"
0,"Pablo's Hippos (2010)"
0.02,"Radio Rebel (2010)"
0.03,"StarStruck (2010)"
0.04,"Geek Charming (2011)"
0,"Elevator (2008)"
0.01,"In Their Skin (2012)"
0.05,"I Give It a Year (2013)"
0.15,"Incredible Burt Wonderstone, The (2013)"
0.29,"Spring Breakers (2013)"
0,"Red Spectacles, The (Jigoku no banken: akai megane) (1987)"
0,"Stray Dog: Kerberos Panzer Cops (Jigoku no banken: kerubersu) (1991)"
0,"Abendland (2011)"
0,"Shanghai Calling (2012)"
0.05,"I'm So Excited (Los amantes pasajeros) (2013)"
0,"Finger, The (Dedo, El) (2011)"
1.89,"Parent Trap, The (1961)"
0,"Frozen, The (2012)"
0,"Amber Lake (2011) "
0,"Unspeakable Acts (1990) "
0,"Árido Movie (2005)"
0,"Operation Daybreak (1975)"
0,"Crossing, The (2000)"
0,"Shining Night: A Portrait of Composer Morten Lauridsen (2012)"
0,"Stolen Seas (2012)"
0,"Snow Creature, The (1954)"
0,"Snowbeast (1977)"
0,"Atomic States of America, The (2012)"
0.01,"Miss Farkku-Suomi (2012)"
0,"I Am Comic (2010)"
0,"Outlaw of Gor (1988)"
0.17,"Call, The (2013)"
0.53,"Olympus Has Fallen (2013)"
0,"Wayward Bus, The (1957)"
0,"Where Are My Children? (1916)"
0.01,"InAPPropriate Comedy (2013)"
0,"Gregory Crewdson: Brief Encounters (2012)"
0,"Blood Games (1990) "
0,"Colder Kind of Death, A (2001)"
0,"Greater Promise, A (Iskateli Schastya) (1936)"
0.62,"Pollyanna (1960)"
0,"Abraham Lincoln (1930)"
0,"Riders of the Purple Sage  (1996)"
0,"Steep (2007)"
0,"Los Marziano (2011)"
0.01,"My Brother the Devil (2012)"
0.16,"First Time, The (2012)"
0,"Mezzo Forte (1998)"
0.01,"Company (2011)"
0,"Kill for Me (2013)"
0,"Christine Jorgensen Story, The (1970)"
0,"Moving Out (1983)"
0,"Inspectors, The (1998)"
0,"Big Bang in Tunguska (Das Rätsel von Tunguska) (2008)"
0,"Big Circus, The (1959)"
0,"My Last Five Girlfriends (2009)"
0,"Kiss, The (1929)"
0,"Trailer Park of Terror (2008)"
0.01,"Task, The (2011)"
0,"2:22 (2008)"
0,"Cottage, The (2012)"
0,"Miguel and William (Miguel y William) (2007)"
0,"Big Girls Don't Cry... They Get Even (Stepkids) (1992)"
0.01,"Curse of the Blair Witch (1999)"
0,"Substitute, The (1993)"
0,"Likeable Mister R, The (Simpaticul domn R) (1969)"
0,"Upperworld (1934)"
0,"Storage (2009)"
0,"Assassin's Bullet (Sofia) (2012)"
0.08,"In the House (2012)"
1.54,"Homeward Bound: The Incredible Journey (1993)"
0,"30 Beats (2012)"
0,"King Is Dead!, The (2012)"
0,"Nazty Nuisance (1943)"
0,"Ungentlemanly Act, An (1992)"
0.57,"Place Beyond the Pines, The (2012)"
0.03,"Into the White (Cross of Honour) (2012)"
0.05,"Brass Teapot, The (2012)"
0.02,"Phil Spector (2013)"
0,"For the Love of a Dog (2008)"
0,"Alabama Moon (2009)"
0,"Smitty (2012)"
0.25,"Host, The (2013)"
0,"Ocean Heaven (2010) "
0,"Angel Dog (2011)"
0,"Best and the Brightest, The (2010)"
0,"Two Little Boys (2012)"
0,"Beautiful Life, A (2008)"
0,"Bird of the Air, A (Loop, The) (2011)"
0,"Breed Apart, A (1984)"
0.01,"Bag of Hammers, A (2011)"
0.01,"Good Doctor, The (2011)"
0.54,"Shaggy Dog, The (1959)"
0,"Whale, The (2011)"
0.11,"Admission (2013)"
0,"Riverworld (2010)"
0,"First Strike (1979)"
0,"Confidential Agent (1945)"
0.01,"King - Jari Litmanen, The (Kuningas Litmanen) (2012)"
0,"18 Fingers of Death! (2006)"
0,"Get2Gether, A (2005)"
0,"Man Called Gannon, A (1968)"
0.02,"Don (2006)"
0,"Bunch Of Amateurs, A (2008)"
0,"Night Across the Street (La noche de enfrente) (2012)"
0.01,"Flat, The (2011)"
0,"Patience (After Sebald) (2012)"
0.01,"Magadheera (2009)"
0,"Three Way (2004)"
0.01,"Hey Ram (2000)"
0,"Night in Heaven, A (1983)"
0.01,"'Twas the Night Before Christmas (1974)"
0.01,"Dr. Dolittle 3 (2006)"
0,"Horror of the Zombies (1974)"
0,"Marvin Gaye: What's Going On (2005)"
0,"Copper Mountain (1983)"
0,"One Life (2011)"
0.02,"Blue Caprice (2013)"
0,"Bad 25 (2012)"
0,"Besa (Solemn Promise) (2009)"
0,"Hadersfild (Huddersfield) (2007)"
1.31,"Swiss Family Robinson (1960)"
0,"Underground: The Julian Assange Story (2012)"
0,"Lush Life (1993)"
0,"009 Re: Cyborg (2012)"
0.01,"Ace Attorney (Gyakuten saiban) (2012)"
0,"On the Road to Emmaus (Emmauksen tiellä) (2001)"
0,"Loaded (2008)"
0,"Elusive Summer of '68, The (Varljivo leto '68) (1984)"
0.01,"Koi... Mil Gaya (2003)"
0,"Dinosaurus! (1960)"
0,"Miss Castaway and the Island Girls (2004)"
0,"Business as Usual (1988)"
0,"Thank God He Met Lizzie (1997)"
0,"Rough House, The (1917)"
0.28,"Evil Dead (2013)"
0.25,"Trance (2013)"
0,"War of the Gargantuas, The (Furankenshutain no kaijû: Sanda tai Gaira) (1968)"
0,"Machine That Kills Bad People, The (La Macchina Ammazzacattivi) (1952)"
0,"Chasing Beauty (2013)"
0.01,"Killing Bono (2011)"
0.05,"Welcome to the Punch (2013)"
0.02,"My Awkward Sexual Adventure (2012)"
0.02,"Perfect Plan, A (Plan parfait, Un) (2012)"
0,"Familie, En (2010)"
0,"Papadopoulos & Sons (2012)"
0,"Better This World (2011)"
0,"A.I. Assault (Shockwave) (2006)"
0,"Americano (2005)"
0.46,"That Darn Cat! (1965)"
0.01,"Skylab, Le (2011)"
0,"Putzel (2012)"
0,"Mountain, The (1956)"
0,"Fighting Prince of Donegal, The (1966)"
0,"Poor White Trash (2000)"
0,"Year of the Jellyfish (L'année des méduses) (1984)"
0,"Don't Make Waves (1967)"
0,"King of Texas, The (2008)"
0,"About Face: Supermodels Then and Now (2012)"
0,"According to Spencer (2001)"
0,"Hitler's Stealth Fighter (2009)"
0,"One Lucky Elephant (2010)"
0.01,"Racing Dreams (2009)"
0.05,"Death on the Staircase (Soupçons) (2004)"
0,"Shepard & Dark (2012)"
0.01,"Teenage Paparazzo (2010)"
0,"50 Children: The Rescue Mission of Mr. And Mrs. Kraus (2013)"
1.8,"Oblivion (2013)"
0.01,"Nazis at the Center of the Earth (2012)"
0,"Fourth State, The (Die vierte Macht) (2012)"
0,"God's Puzzle (Kamisama no pazuru) (2008)"
0.01,"Siberian Education (Educazione siberiana) (2013)"
0.01,"Dark Tide (2012)"
0,"Bernice Bobs Her Hair (1976)"
0.01,"Bones Brigade: An Autobiography (2012)"
0.05,"To the Wonder (2013)"
0.22,"42 (2013)"
0,"Prodigal Son, The (Tuhlaajapoika) (1992)"
2.55,"20,000 Leagues Under the Sea (1954)"
0,"Ladybug Ladybug (1963) "
0.02,"Happy (2011)"
0,"Truth of Lie, The (Die Wahrheit der Lüge) (2011)"
0,"Castle of Cloads, The (Pilvilinna) (1970)"
0,"Bhutto (2010)"
0,"Black Rose Ascension (Kurobara shôten) (1975)"
0,"E Aí... Comeu? (2012)"
0,"Undefeatable (1993)"
0,"Burning Bed, The (1984)"
0,"Lawless Street, A (Marshal of Medicine Bend) (1955)"
0,"Across the Wide Missouri (1951)"
0,"Seeking Asian Female (2012)"
0.02,"Love Is All You Need (Den skaldede frisør) (2012)"
0,"Downeast (2012)"
0,"From the Sky Down (2011)"
0,"Adventure for Two (1943)"
0,"Afghan Luke (2011)"
0,"Alex in Wonderland (1970)"
0,"Carne de gallina (Chicken Skin) (2002)"
0.23,"Wolf Children (Okami kodomo no ame to yuki) (2012)"
0.01,"Mugabe and the White African (2009)"
0,"Battle in Outer Space (1959)"
0.01,"Tesla: Master of Lightning (2000)"
0.02,"Never Sleep Again: The Elm Street Legacy (2010)"
0.15,"Disconnect (2012)"
0,"iSteve (2013)"
0,"All American Orgy (Cummings Farm) (2009)"
0,"Colors of the Mountain, The (Los colores de la montaña) (2010)"
0,"Eternal Return, The (L'éternel retour) (1943)"
0,"Konga (1961)"
0,"H-Man, The (Bijo to Ekitainingen) (1958)"
0.1,"Scary Movie 5 (Scary MoVie) (2013)"
0,"Last Cowboy Standing (Skavabölen pojat) (2009)"
0.76,"Mr. Wrong (1996)"
2.88,"Cool Runnings (1993)"
0.02,"Like Someone In Love (2012)"
0.02,"Invincible Iron Man, The (2007)"
0.01,"Thor: Tales of Asgard (2011)"
0,"Before Your Eyes (Min Dit: The Children of Diyarbakir) (2009)"
0,"Yongary: Monster from the Deep (1967)"
0,"To the Arctic (2012)"
0.32,"Pain & Gain (2013)"
0,"Holding, The (2011)"
0,"Breaking Wind (2011)"
0,"Taming of the Shrew, The (1980)"
0,"Bride Came C.O.D., The (1941)"
0,"Mexican Hayride (1948)"
0.02,"Iron Man: Rise Of Technovore (2013)"
0.03,"Hulk Vs. (2009)"
0.04,"Planet Hulk (2010)"
0.02,"Band Called Death, A (2012)"
0,"Home Run (2013)"
0.05,"Resolution (2012)"
0.06,"Grabbers (2012)"
0.05,"Erased (Expatriate, The) (2012)"
0,"Albino Farm (2009)"
0,"All She Can (Benavides Born) (2011)"
0.08,"Justice League: Doom (2012) "
0.01,"Living on One Dollar (2013)"
0.08,"Grandmaster, The (Yi dai zong shi) (2013)"
0,"Magnetic Monster, The (1953)"
0,"After Office Hours (1935)"
1.48,"Angels in the Outfield (1994)"
0,"American Kickboxer (American Kickboxer 1) (1991)"
0,"American Kickboxer 2 (American Kickboxer 2: To the Death) (1993)"
0,"American Winter (2013)"
0,"Polly of the Circus (1932)"
0.01,"Going to Pieces: The Rise and Fall of the Slasher Film (2006)"
0,"One-Eyed Monster (2008)"
0,"Prinsessa Ruusunen (1949)"
0,"Yesterday Was a Lie (2008)"
0,"Sofia's Last Ambulance (Poslednaka lineika na Sofia) (2012)"
0.96,"This Is the End (2013)"
2.83,"Iron Man 3 (2013)"
0.01,"Miss Austen Regrets (2008)"
0,"Valentino (1977)"
0,"Revolution (2012)"
0,"Black Camel, The (Charlie Chan in the Black Camel) (1931)"
0.01,"Middle of Nowhere (2008)"
0.03,"Superman Unbound (2013)"
0,"Zombies of the Stratosphere (1952)"
0,"Three Degrees Colder (3° kälter) (2005)"
0.05,"Numbers Station, The (2013)"
0.02,"English Teacher, The (2013)"
0.01,"Standing Up (2013)"
0,"Late Autumn (Man-choo) (2010)"
0.01,"Day of the Falcon (2011)"
0,"Late Great Planet Earth, The (1979)"
0,"Better Way to Die, A (2000)"
0,"Casanova's Big Night (1954)"
0.01,"Tunnel Rats (1968 Tunnel Rats) (2008)"
0,"20,000 Leagues Under the Sea (1997)"
0.75,"Mud (2012)"
0,"Entrepreneur, The (L'industriale) (2011)"
0,"Chariots of the Gods (Erinnerungen an die Zukunft) (1970)"
4.02,"Cinderella (1950)"
0,"Human Tornado, The (1976)"
0,"Aces 'N' Eights (2008)"
0,"After the Storm (2001)"
0,"Tenth Man, The (1988)"
0.06,"Bill Hicks: Revelations (1993)"
0,"Perils of the Sentimental Swordsman (1982)"
0,"War of the Shaolin Temple (Shao Lin shi san gun seng) (1980)"
0,"Majesteit (2010)"
0.02,"Dragon (Wu Xia) (2011)"
0,"Verlorene, Der (Lost One, The) (1951)"
0,"Manhunt (2013)"
0,"Cheerful Weather for the Wedding (2012)"
0.02,"Small Apartments (2012)"
0,"Holy Flame of the Martial World (1983)"
0,"Web of Death, The (1976)"
0,"Legendary Weapons of China (1982)"
0.01,"Ju-on: White Ghost (2009)"
0.01,"Ju-on: Black Ghost (2009)"
0.01,"Daniel Deronda (2002)"
0,"South Shaolin Master, The (Nan quan wang) (1984)"
0,"Cold Steel (1987)"
0,"Afflicted, The (2010)"
0.01,"Pawn (2013)"
0.01,"Manborg (2011)"
0,"Bajo la Sal (Under the Salt) (2008)"
0,"Henry IV, Part I (First Part of King Henry the Fourth, with the Life and Death of Henry Surnamed Hotspur, The) (1979)"
0.02,"Family Weekend (2013)"
0,"Woman Who Wasn't There, The (2012)"
0,"Sergeant Dead Head (1965)"
0.01,"Scapegoat, The (2012)"
0,"8:46 (2011)"
0.01,"Hungry for Change (2012)"
1.25,"Winnie the Pooh and the Blustery Day (1968)"
0,"Hardboiled Egg (Ovosodo) (1997)"
0,"Henry IV, Part II (Second Part of King Henry the Fourth, including his death and the coronation of King Henry the Fifth, The) (1979)"
0,"Grin Without a Cat, A (Fond de l'air est rouge, Le) (1977)"
0,"Number Two (Numéro deux) (1975)"
0,"Empire (1964)"
0,"American Bandits: Frank and Jesse James (2010)"
0,"Shaolin Temple (Shao Lin si) (1976)"
0,"Sentimental Swordsman, The (To ching chien ko wu ching chien) (1977)"
0,"Descendant of the Sun (Ri jie) (1983)"
0,"Brooklyn State of Mind, A (1998)"
0,"Three and Out (Deal Is a Deal, A) (2008)"
0.02,"About Cherry (2012)"
0.01,"Sushi Girl (2012)"
0,"Where the Road Meets the Sun (2011)"
0,"Airspeed (1999)"
0,"Rich and Famous (Gong woo ching) (1987)"
0.01,"Arrested Development Documentary Project, The (2013)"
0,"Awful Dr. Orlof, The (Gritos en la Noche) (1962)"
0,"Tomorrow, the World! (1944)"
0.01,"Enter the Phoenix (Da lao ai mei li) (2004)"
0.03,"Syrup (2013)"
0,"Candy Snatchers, The (1973)"
0.01,"Fortress 2 (2000)"
0.01,"Woman in the Fifth, The (Femme du Vème, La) (2011)"
0,"Dangerous Corner (1934)"
0.43,"Three Caballeros, The (1945)"
0,"Intruder, The (1999)"
1.52,"Great Gatsby, The (2013)"
0,"Hurt (2009)"
0,"How Much Wood Would a Woodchuck Chuck (Beobachtungen zu einer neuen Sprache) (1976)"
0,"Hyenas (Hyènes) (1992)"
0,"Sicily! (Sicilia!) (1999)"
0,"Lesson Plan (2011) "
0,"Seven Billiard Tables (Siete mesas de billar francés) (2007)"
0,"Lady Terminator (Pembalasan ratu pantai selatan) (1989)"
